[0.0016 0.001  0.0016 0.0021 0.0016 0.0021 0.0016 0.0016 0.0016 0.001 ],[0.2006 0.2011 0.2011 0.2006 0.2001 0.2011 0.2006 0.2006 0.2006 0.2011],[0.397  0.3965 0.3965 0.397  0.397  0.3965 0.397  0.397  0.397  0.397 ],[0.5981 0.5981 0.5986 0.5986 0.5981 0.5981 0.5981 0.5981 0.5981 0.5986],[0.7977 0.7977 0.7982 0.7977 0.7977 0.7977 0.7977 0.7977 0.7982 0.7977],[0.9972 0.9972 0.9972 0.9967 0.9967 0.9967 0.9967 0.9967 0.9972 0.9967],[1.1983 1.1983 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978],[1.3921 1.3926 1.3921 1.3926 1.3921 1.3916 1.3921 1.3921 1.3916 1.3921],[1.5943 1.5938 1.5943 1.5938 1.5938 1.5943 1.5938 1.5938 1.5943 1.5938],[1.7943 1.7943 1.7938 1.7938 1.7938 1.7943 1.7943 1.7943 1.7943 1.7943],[2.0007 2.0002 2.0002 2.0007 2.0007 2.0007 2.0007 2.0007 2.0007 2.0007],[2.1992 2.1992 2.1992 2.1992 2.1992 2.1992 2.1992 2.1992 2.1992 2.1992],[2.3998 2.3993 2.4003 2.3998 2.3998 2.4003 2.3998 2.4003 2.4003 2.3998],[2.5962 2.5962 2.5962 2.5962 2.5962 2.5962 2.5962 2.5962 2.5962 2.5957],[2.7947 2.7947 2.7947 2.7947 2.7942 2.7947 2.7947 2.7947 2.7947 2.7947],[2.9968 2.9968 2.9968 2.9963 2.9968 2.9963 2.9968 2.9968 2.9968 2.9968],[3.1969 3.1964 3.1969 3.1964 3.1964 3.1964 3.1964 3.1964 3.1969 3.1964],[3.3975 3.398  3.3975 3.398  3.3975 3.3975 3.397  3.398  3.3975 3.3975],[3.5965 3.5965 3.5965 3.597  3.597  3.597  3.596  3.597  3.596  3.597 ],[3.794  3.7935 3.7935 3.794  3.7935 3.7935 3.7935 3.7935 3.7935 3.794 ],[3.9941 3.9941 3.9941 3.9935 3.9935 3.9941 3.9935 3.9935 3.9935 3.9941],[4.1936 4.1941 4.1936 4.1936 4.1941 4.1936 4.1936 4.1936 4.1936 4.1931],[4.4015 4.4015 4.402  4.4015 4.4015 4.4015 4.4015 4.4015 4.4015 4.4015],[4.6021 4.6016 4.6016 4.6016 4.601  4.6016 4.601  4.6016 4.6016 4.6021],[4.798  4.7985 4.798  4.7985 4.798  4.798  4.798  4.798  4.798  4.798 ]
|[-0.00067 -0.00082 -0.00067 -0.00072 -0.00067 -0.00077 -0.00072 -0.00072
 -0.00072 -0.00067]|,|[-0.00062 -0.00077 -0.00067 -0.00067 -0.00072 -0.00062 -0.00067 -0.00072
 -0.00067 -0.00067]|,|[-0.00072 -0.00077 -0.00077 -0.00072 -0.00072 -0.00077 -0.00067 -0.00062
 -0.00067 -0.00067]|,|[-0.00067 -0.00072 -0.00072 -0.00072 -0.00067 -0.00062 -0.00077 -0.00062
 -0.00072 -0.00077]|,|[-0.00072 -0.00077 -0.00067 -0.00082 -0.00072 -0.00062 -0.00077 -0.00072
 -0.00067 -0.00067]|,|[-0.00067 -0.00067 -0.00082 -0.00072 -0.00077 -0.00072 -0.00072 -0.00072
 -0.00072 -0.00067]|,|[-0.00072 -0.00067 -0.00072 -0.00072 -0.00067 -0.00062 -0.00077 -0.00062
 -0.00072 -0.00062]|,|[-0.00067 -0.00067 -0.00072 -0.00062 -0.00072 -0.00077 -0.00067 -0.00072
 -0.00072 -0.00067]|,|[-0.00072 -0.00072 -0.00067 -0.00062 -0.00067 -0.00062 -0.00067 -0.00072
 -0.00067 -0.00072]|,|[-0.00062 -0.00067 -0.00072 -0.00067 -0.00067 -0.00067 -0.00062 -0.00067
 -0.00072 -0.00062]|,|[-0.00072 -0.00067 -0.00072 -0.00077 -0.00057 -0.00057 -0.00067 -0.00067
 -0.00067 -0.00072]|,|[-0.00067 -0.00067 -0.00077 -0.00062 -0.00057 -0.00067 -0.00067 -0.00072
 -0.00072 -0.00072]|,|[-0.00072 -0.00067 -0.00067 -0.00067 -0.00082 -0.00072 -0.00067 -0.00072
 -0.00072 -0.00077]|,|[-0.00067 -0.00057 -0.00087 -0.00062 -0.00072 -0.00072 -0.00067 -0.00067
 -0.00072 -0.00067]|,|[-0.00072 -0.00072 -0.00067 -0.00072 -0.00067 -0.00067 -0.00072 -0.00062
 -0.00067 -0.00067]|,|[-0.00072 -0.00072 -0.00062 -0.00067 -0.00067 -0.00067 -0.00067 -0.00072
 -0.00072 -0.00067]|,|[-0.00072 -0.00072 -0.00077 -0.00072 -0.00072 -0.00072 -0.00072 -0.00072
 -0.00067 -0.00077]|,|[-0.00062 -0.00031 -0.00067 -0.00072 -0.00072 -0.00072 -0.00067 -0.00072
 -0.00067 -0.00067]|,|[-0.00067 -0.00072 -0.00072 -0.00072 -0.00067 -0.00067 -0.00067 -0.00077
 -0.00062 -0.00077]|,|[-0.00072 -0.00062 -0.00072 -0.00077 -0.00077 -0.00077 -0.00072 -0.00067
 -0.00067 -0.00072]|,|[-0.00067 -0.00077 -0.00072 -0.00067 -0.00072 -0.00072 -0.00077 -0.00077
