[0.001  0.0016 0.0016 0.001  0.001  0.0016 0.001  0.0016 0.0016 0.0021],[0.1008 0.1013 0.1013 0.1013 0.1008 0.1013 0.1013 0.1008 0.1013 0.1019],[0.2001 0.2006 0.2006 0.2001 0.2001 0.2006 0.2001 0.2011 0.2001 0.2006],[0.2983 0.2983 0.2983 0.2988 0.2978 0.2983 0.2978 0.2978 0.2983 0.2978],[0.3965 0.397  0.3965 0.3965 0.397  0.397  0.3965 0.3965 0.3965 0.3965],[0.4978 0.4973 0.4973 0.4973 0.4973 0.4978 0.4978 0.4973 0.4973 0.4973],[0.5981 0.5981 0.5976 0.5981 0.5981 0.5986 0.5981 0.5981 0.5981 0.5981],[0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6968 0.6974 0.6974 0.6974],[0.7977 0.7982 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7982],[0.8969 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8969 0.8974 0.8974],[0.9962 0.9967 0.9962 0.9962 0.9967 0.9967 0.9967 0.9967 0.9967 0.9967],[1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0965 1.0959 1.0959],[1.1983 1.1973 1.1973 1.1978 1.1973 1.1978 1.1978 1.1978 1.1973 1.1978],[1.2965 1.2965 1.296  1.2965 1.2965 1.2965 1.296  1.2965 1.2965 1.2965],[1.3916 1.3906 1.3911 1.3911 1.3911 1.3916 1.3911 1.3911 1.3911 1.3911],[1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924],[1.5922 1.5922 1.5922 1.5917 1.5917 1.5922 1.5917 1.5917 1.5922 1.5917],[1.6914 1.692  1.692  1.6914 1.6914 1.692  1.6914 1.6914 1.6914 1.692 ],[1.7896 1.7896 1.7891 1.7896 1.7891 1.7891 1.7891 1.7891 1.7891 1.7891],[1.8884 1.8879 1.8879 1.8879 1.8879 1.8879 1.8873 1.8879 1.8873 1.8879],[1.9908 1.9913 1.9913 1.9913 1.9908 1.9908 1.9908 1.9908 1.9913 1.9908],[2.0864 2.0858 2.0858 2.0858 2.0864 2.0864 2.0858 2.0858 2.0858 2.0858],[2.1814 2.1809 2.1809 2.1809 2.1809 2.1809 2.1809 2.1809 2.1809 2.1809],[2.2754 2.2754 2.276  2.2765 2.276  2.276  2.276  2.276  2.2754 2.2754],[2.3538 2.3543 2.3538 2.3533 2.3538 2.3533 2.3538 2.3538 2.3543 2.3543],[2.3528 2.3538 2.3533 2.3533 2.3533 2.3533 2.3538 2.3533 2.3533 2.3538],[2.3528 2.3533 2.3528 2.3528 2.3528 2.3533 2.3538 2.3533 2.3533 2.3533],[2.3522 2.3528 2.3528 2.3533 2.3522 2.3528 2.3528 2.3533 2.3533 2.3528],[2.3528 2.3528 2.3528 2.3528 2.3522 2.3528 2.3528 2.3528 2.3528 2.3533],[2.3533 2.3528 2.3533 2.3528 2.3522 2.3533 2.3528 2.3533 2.3528 2.3528]
|[-0.00103 -0.00103 -0.00118 -0.00093 -0.00098 -0.00093 -0.00098 -0.00103
 -0.00108 -0.00093]|,|[-0.00098 -0.00103 -0.00108 -0.00098 -0.00108 -0.00098 -0.00098 -0.00098
 -0.00108 -0.00087]|,|[-0.00098 -0.00108 -0.00098 -0.00098 -0.00098 -0.00098 -0.00098 -0.00103
 -0.00103 -0.00087]|,|[-0.00093 -0.00103 -0.00093 -0.00093 -0.00108 -0.00093 -0.00093 -0.00098
 -0.00098 -0.00103]|,|[-0.00098 -0.00093 -0.00103 -0.00103 -0.00098 -0.00098 -0.00098 -0.00103
 -0.00098 -0.00098]|,|[-0.00098 -0.00093 -0.00087 -0.00093 -0.00093 -0.00098 -0.00093 -0.00093
 -0.00098 -0.00098]|,|[-0.00098 -0.00103 -0.00093 -0.00087 -0.00093 -0.00098 -0.00098 -0.00093
 -0.00093 -0.00077]|,|[-0.00087 -0.00087 -0.00082 -0.00098 -0.00087 -0.00093 -0.00087 -0.00098
 -0.00098 -0.00087]|,|[-0.00103 -0.00098 -0.00093 -0.00098 -0.00093 -0.00093 -0.00098 -0.00082
 -0.00093 -0.00093]|,|[-0.00093 -0.00087 -0.00087 -0.00093 -0.00093 -0.00093 -0.00087 -0.00093
 -0.00093 -0.00087]|,|[-0.00087 -0.00103 -0.00082 -0.00087 -0.00093 -0.00093 -0.00093 -0.00108
 -0.00093 -0.00077]|,|[-0.00077 -0.00087 -0.00087 -0.00077 -0.00093 -0.00082 -0.00087 -0.00082
 -0.00093 -0.00082]|,|[-0.00067 -0.00072 -0.00082 -0.00072 -0.00082 -0.00082 -0.00072 -0.00072
 -0.00077 -0.00067]|,|[-0.00057 -0.00057 -0.00062 -0.00041 -0.00051 -0.00051 -0.00062 -0.00062
 -0.00057 -0.00062]|,|[-0.00031 -0.00026 -0.00031 -0.00041 -0.00036 -0.00041 -0.00026 -0.00031
 -0.00031 -0.00031]|,|[5.0e-05 5.0e-05 5.0e-05 5.0e-05 2.6e-04 1.0e-04 0.0e+00 5.0e-05 1.5e-04
 5.0e-05]|,|[0.00046 0.00057 0.00072 0.00057 0.00062 0.00062 0.00057 0.00051 0.00046
 0.00057]|,|[0.00144 0.00149 0.00144 0.00139 0.00139 0.00144 0.00134 0.00134 0.00139
 0.00144]|,|[0.00268 0.00257 0.00257 0.00262 0.00252 0.00252 0.00268 0.00257 0.00257
 0.00262]|,|[0.00412 0.00412 0.00407 0.00412 0.00417 0.00422 0.00412 0.00412 0.00422
 0.00422]|,|[0.00638 0.00638 0.00654 0.00643 0.00648 0.00654 0.00643 0.00654 0.00638
 0.00648]|,|[0.00926 0.00926 0.00932 0.00937 0.00926 0.00926 0.00932 0.00926 0.00921
 0.00916]|,|[0.01287 0.01302 0.01292 0.01297 0.01297 0.01292 0.01292 0.01297 0.01297
 0.01287]|,|[0.0176  0.0177  0.0176  0.01755 0.0176  0.0175  0.01765 0.0177  0.01765
 0.0176 ]|,|[0.02254 0.02254 0.02254 0.02249 0.02254 0.02249 0.02254 0.02254 0.02254
 0.02239]|,|[0.02249 0.02259 0.02249 0.02249 0.02254 0.02259 0.02244 0.02254 0.02254
