[0.001  0.0016 0.0021 0.0016 0.0016 0.0016 0.001  0.0016 0.0016 0.0016],[0.1019 0.1019 0.1008 0.1013 0.1013 0.1003 0.1013 0.1019 0.1013 0.1013],[0.2006 0.2006 0.2011 0.2006 0.2011 0.2006 0.2001 0.2006 0.2001 0.2006],[0.2983 0.2978 0.2978 0.2983 0.2978 0.2978 0.2983 0.2983 0.2983 0.2978],[0.397  0.397  0.3965 0.397  0.3965 0.397  0.3965 0.397  0.397  0.3965],[0.4978 0.4978 0.4973 0.4973 0.4978 0.4973 0.4978 0.4978 0.4978 0.4978],[0.5986 0.5981 0.5981 0.5981 0.5981 0.5981 0.5981 0.5981 0.5981 0.5986],[0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974],[0.7977 0.7977 0.7977 0.7977 0.7977 0.7982 0.7977 0.7977 0.7977 0.7977],[0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974],[0.9967 0.9962 0.9967 0.9967 0.9967 0.9967 0.9972 0.9967 0.9962 0.9967],[1.0965 1.0965 1.0965 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959],[1.1973 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1973],[1.297  1.2965 1.2965 1.297  1.2965 1.297  1.297  1.2965 1.2965 1.297 ],[1.3916 1.3911 1.3916 1.3921 1.3916 1.3916 1.3921 1.3911 1.3916 1.3916],[1.4935 1.4935 1.4929 1.4935 1.4935 1.4929 1.4929 1.4929 1.4929 1.4929],[1.5927 1.5932 1.5927 1.5927 1.5927 1.5927 1.5927 1.5932 1.5927 1.5922],[1.6935 1.6935 1.6935 1.6935 1.6935 1.6935 1.6935 1.6935 1.6935 1.6935],[1.7917 1.7923 1.7923 1.7917 1.7917 1.7917 1.7917 1.7917 1.7917 1.7923],[1.891  1.891  1.891  1.8905 1.8915 1.891  1.8915 1.8915 1.891  1.891 ],[1.9955 1.9955 1.996  1.9955 1.996  1.9955 1.996  1.9955 1.9955 1.9955],[2.0921 2.0926 2.0926 2.0926 2.0926 2.0931 2.0921 2.0926 2.0926 2.0926],[2.1903 2.1898 2.1893 2.1898 2.1898 2.1893 2.1898 2.1898 2.1898 2.1893],[2.2875 2.2875 2.2875 2.2869 2.2875 2.288  2.288  2.288  2.2869 2.2875],[2.3831 2.3825 2.3831 2.3825 2.3825 2.3825 2.3825 2.3831 2.3825 2.3825],[2.4776 2.4776 2.4776 2.4776 2.4776 2.4771 2.4776 2.4776 2.4776 2.4776],[2.5675 2.568  2.5675 2.568  2.568  2.568  2.5675 2.568  2.568  2.5675],[2.5983 2.5983 2.5983 2.5978 2.5978 2.5978 2.5983 2.5978 2.5978 2.5983],[2.5967 2.5967 2.5972 2.5967 2.5978 2.5967 2.5967 2.5972 2.5967 2.5967],[2.5962 2.5962 2.5962 2.5962 2.5962 2.5957 2.5957 2.5957 2.5957 2.5957]
|[-0.00098 -0.00087 -0.00087 -0.00098 -0.00082 -0.00093 -0.00098 -0.00093
 -0.00103 -0.00082]|,|[-0.00087 -0.00093 -0.00098 -0.00098 -0.00093 -0.00098 -0.00093 -0.00087
 -0.00098 -0.00093]|,|[-0.00098 -0.00093 -0.00093 -0.00087 -0.00093 -0.00093 -0.00098 -0.00087
 -0.00093 -0.00093]|,|[-0.00098 -0.00093 -0.00087 -0.00093 -0.00082 -0.00103 -0.00093 -0.00087
 -0.00087 -0.00103]|,|[-0.00093 -0.00093 -0.00093 -0.00093 -0.00098 -0.00098 -0.00098 -0.00087
 -0.00087 -0.00093]|,|[-0.00093 -0.00093 -0.00082 -0.00098 -0.00093 -0.00082 -0.00087 -0.00093
 -0.00087 -0.00087]|,|[-0.00093 -0.00087 -0.00093 -0.00093 -0.00103 -0.00098 -0.00103 -0.00082
 -0.00082 -0.00108]|,|[-0.00087 -0.00093 -0.00103 -0.00082 -0.00098 -0.00093 -0.00093 -0.00093
 -0.00087 -0.00072]|,|[-0.00093 -0.00087 -0.00093 -0.00082 -0.00103 -0.00087 -0.00087 -0.00093
 -0.00082 -0.00098]|,|[-0.00087 -0.00087 -0.00087 -0.00087 -0.00098 -0.00082 -0.00087 -0.00087
 -0.00077 -0.00087]|,|[-0.00082 -0.00103 -0.00093 -0.00082 -0.00093 -0.00082 -0.00082 -0.00093
 -0.00087 -0.00087]|,|[-0.00087 -0.00082 -0.00093 -0.00072 -0.00093 -0.00082 -0.00087 -0.00087
 -0.00087 -0.00093]|,|[-0.00087 -0.00082 -0.00077 -0.00077 -0.00082 -0.00077 -0.00077 -0.00093
 -0.00082 -0.00082]|,|[-0.00067 -0.00072 -0.00072 -0.00072 -0.00077 -0.00072 -0.00072 -0.00067
 -0.00077 -0.00067]|,|[-0.00062 -0.00062 -0.00062 -0.00057 -0.00062 -0.00057 -0.00057 -0.00062
 -0.00062 -0.00062]|,|[-0.00041 -0.00021 -0.00036 -0.00036 -0.00041 -0.00041 -0.00041 -0.00046
 -0.00046 -0.00036]|,|[-1.5e-04 -1.0e-04 -1.5e-04 -1.5e-04  0.0e+00 -1.0e-04 -5.0e-05 -1.0e-04
 -1.0e-04 -2.6e-04]|,|[0.00015 0.00036 0.00031 0.00031 0.00041 0.00026 0.00031 0.00031 0.00041
 0.00036]|,|[0.00082 0.00082 0.00087 0.00087 0.00087 0.00093 0.00082 0.00087 0.00082
 0.00093]|,|[0.0017  0.0017  0.00175 0.0016  0.0017  0.0017  0.00165 0.0017  0.00165
 0.0017 ]|,|[0.00288 0.00293 0.00283 0.00283 0.00288 0.00278 0.00288 0.00288 0.00288
 0.00288]|,|[0.00422 0.00432 0.00437 0.00432 0.00437 0.00422 0.00422 0.00432 0.00432
 0.00432]|,|[0.00628 0.00618 0.00628 0.00628 0.00628 0.00623 0.00628 0.00628 0.00633
 0.00623]|,|[0.0088  0.0088  0.00875 0.00885 0.0088  0.0087  0.0088  0.0088  0.00885
 0.0088 ]|,|[0.01199 0.01194 0.01194 0.01194 0.01194 0.01199 0.01204 0.01199 0.01199
