No	Time	T1/T2	Value	Unit	Judge
1	2018/03/19_13:45:05	T1	210.4	K-T	Fail
2	2018/03/19_13:45:05	T1	209.9	K-T	Fail
3	2018/03/19_13:45:06	T1	207.6	K-T	Fail
4	2018/03/19_13:45:07	T1	204.7	K-T	Fail
5	2018/03/19_13:45:08	T1	201.6	K-T	Fail
6	2018/03/19_13:45:09	T1	198.6	K-T	Fail
7	2018/03/19_13:45:10	T1	195.5	K-T	Fail
8	2018/03/19_13:45:11	T1	192.5	K-T	Fail
9	2018/03/19_13:45:12	T1	189.1	K-T	Fail
10	2018/03/19_13:45:13	T1	185.8	K-T	Fail
11	2018/03/19_13:45:14	T1	182.4	K-T	Fail
12	2018/03/19_13:45:15	T1	178.7	K-T	Fail
13	2018/03/19_13:45:16	T1	173.9	K-T	Fail
14	2018/03/19_13:45:17	T1	171.9	K-T	Fail
15	2018/03/19_13:45:18	T1	167.6	K-T	Fail
16	2018/03/19_13:45:19	T1	163.2	K-T	Fail
17	2018/03/19_13:45:20	T1	157.5	K-T	Fail
18	2018/03/19_13:45:21	T1	153.8	K-T	Fail
19	2018/03/19_13:45:22	T1	148.2	K-T	Fail
20	2018/03/19_13:45:23	T1	140.2	K-T	Fail
21	2018/03/19_13:45:24	T1	135.7	K-T	Fail
22	2018/03/19_13:45:25	T1	126.7	K-T	Fail
23	2018/03/19_13:45:26	T1	120.2	K-T	Fail
24	2018/03/19_13:45:27	T1	105.7	K-T	Fail
25	2018/03/19_13:45:28	T1	96.8	K-T	Fail
26	2018/03/19_13:45:29	T1	86.9	K-T	Fail
27	2018/03/19_13:45:30	T1	85.1	K-T	Fail
28	2018/03/19_13:45:31	T1	83.0	K-T	Fail
29	2018/03/19_13:45:32	T1	81.6	K-T	Fail
30	2018/03/19_13:45:33	T1	81.1	K-T	Fail
31	2018/03/19_13:45:34	T1	80.7	K-T	Fail
32	2018/03/19_13:45:35	T1	80.5	K-T	Fail
33	2018/03/19_13:45:36	T1	80.3	K-T	Fail
34	2018/03/19_13:45:37	T1	80.4	K-T	Fail
35	2018/03/19_13:45:38	T1	80.5	K-T	Fail
36	2018/03/19_13:45:39	T1	80.4	K-T	Fail
37	2018/03/19_13:45:40	T1	80.4	K-T	Fail
38	2018/03/19_13:45:41	T1	80.2	K-T	Fail
39	2018/03/19_13:45:42	T1	80.1	K-T	Fail
40	2018/03/19_13:45:43	T1	80.0	K-T	Fail
41	2018/03/19_13:45:44	T1	80.2	K-T	Fail
42	2018/03/19_13:45:45	T1	80.3	K-T	Fail
43	2018/03/19_13:45:46	T1	80.3	K-T	Fail
44	2018/03/19_13:45:47	T1	80.2	K-T	Fail
45	2018/03/19_13:45:48	T1	80.0	K-T	Fail
46	2018/03/19_13:45:49	T1	80.0	K-T	Fail
47	2018/03/19_13:45:50	T1	80.1	K-T	Fail
48	2018/03/19_13:45:51	T1	80.2	K-T	Fail
49	2018/03/19_13:45:52	T1	80.2	K-T	Fail
50	2018/03/19_13:45:53	T1	80.2	K-T	Fail
51	2018/03/19_13:45:54	T1	80.2	K-T	Fail
52	2018/03/19_13:45:55	T1	80.2	K-T	Fail
53	2018/03/19_13:45:56	T1	80.2	K-T	Fail
54	2018/03/19_13:45:57	T1	80.2	K-T	Fail
55	2018/03/19_13:45:58	T1	80.2	K-T	Fail
56	2018/03/19_13:45:59	T1	80.2	K-T	Fail
57	2018/03/19_13:46:00	T1	80.2	K-T	Fail
58	2018/03/19_13:46:01	T1	80.2	K-T	Fail
