Voltage,Current,Temperature,ln(I),Voltage error,Current error,ln(I) err,
mV,mA,K,,,,,
50.44,0,--,--,0.005,5E-4,--,
100.54,0,--,--,0.005,5E-4,--,
150.33,0,--,--,0.005,5E-4,--,
200.88,0,--,--,0.005,5E-4,--,
250.72,0,--,--,0.005,5E-4,--,
299.66,0,--,--,0.005,5E-4,--,
350.17,0,,--,0.005,5E-4,--,
400.01,0,,--,0.005,5E-4,--,
450.25,0,,--,0.005,5E-4,--,
500.37,0,,--,0.005,5E-4,--,
550.09,0,,--,0.005,5E-4,--,
598.93,0,,--,0.005,5E-4,--,
649.82,0,,--,0.005,5E-4,--,
700.6,0.001,,-6.90775527898214,0.05,5E-4,0.5,
750,0.002,,-6.21460809842219,0.05,5E-4,0.25,
799.8,0.004,,-5.52146091786225,0.05,5E-4,0.125,
850.1,0.012,,-4.42284862919414,0.05,5E-4,0.0416666666666667,
900.4,0.031,,-3.47376807449699,0.05,5E-4,0.0161290322580645,
949.9,0.083,,-2.48891467118554,0.05,5E-4,0.00602409638554217,
1008.2,0.233,,-1.45671682541644,0.05,5E-4,0.00214592274678112,
1050,0.639,,-0.447850824604602,0.5,5E-4,7.82472613458529E-4,
1100,2.176,,0.777488328993696,0.5,5E-4,2.29779411764706E-4,
1150,7.147,,1.96669268823784,0.5,5E-4,6.99594235343501E-5,
1200,18.717,,2.92943220179676,0.5,5E-4,2.67136827483037E-5,
1249,37.773,,3.63159456168767,0.5,5E-4,1.32369682048024E-5,
1300,63.703,,4.15423165723053,0.5,5E-4,7.84892391253159E-6,
1347,94.678,,4.55048166063729,0.5,5E-4,5.28105790151883E-6,
1399,138.2,,4.92870191133357,0.5,0.005,3.61794500723589E-5,
1447,174.93,,5.16438589390217,0.5,0.005,2.8582861716115E-5,
1497,215.23,,5.37170722377609,0.5,0.005,2.32309622264554E-5,
1547,245.4,,5.50288953227681,0.5,0.005,2.03748981255094E-5,
1602,281.94,,5.64169428234278,0.5,0.005,1.77342697027736E-5,
1649,324.58,,5.78253203888774,0.5,0.005,1.54045227678847E-5,
75.42,0,,--,0.005,5E-4,--,
124.9,0,,--,0.05,5E-4,--,
174.9,0,,--,0.05,5E-4,--,
225.2,0,,--,0.05,5E-4,--,
274.9,0,,--,0.05,5E-4,--,
324.7,0,,--,0.05,5E-4,--,
375.1,0,,--,0.05,5E-4,--,
425.2,0,,--,0.05,5E-4,--,
475.1,0,,--,0.05,5E-4,--,
524.2,0,,--,0.05,5E-4,--,
574.9,0,,--,0.05,5E-4,--,
625.6,0,,--,0.05,5E-4,--,
675.4,0.001,,-6.90775527898214,0.05,5E-4,0.5,
724.3,0.001,,-6.90775527898214,0.05,5E-4,0.5,
775.2,0.003,,-5.80914299031403,0.05,5E-4,0.166666666666667,
825.2,0.007,,-4.96184512992682,0.05,5E-4,0.0714285714285714,
875.3,0.019,,-3.9633162998157,0.05,5E-4,0.0263157894736842,
925.7,0.051,,-2.97592964625781,0.05,5E-4,0.00980392156862745,
974.8,0.135,,-2.00248050054371,0.05,5E-4,0.0037037037037037,
1024.9,0.391,,-0.939047718996771,0.05,5E-4,0.00127877237851662,
1075.3,1.263,,0.233489843368354,0.05,5E-4,3.95882818685669E-4,
1124.9,4.211,,1.43770014917979,0.05,5E-4,1.18736642127761E-4,
1175,12.359,,2.5143845426076,0.5,5E-4,4.04563476009386E-5,
1224,27.363,,3.30919173586613,0.5,5E-4,1.82728501991741E-5,
1274,49.872,,3.90945972302498,0.5,5E-4,1.00256657042028E-5,
1323,78.249,,4.35989604978589,0.5,5E-4,6.38985801735485E-6,
1374,113.72,,4.7337392867828,0.5,0.005,4.39676398170946E-5,
1424,159.85,,5.07423587550585,0.5,0.005,3.12793243665937E-5,
1474,197.15,,5.28396486032364,0.5,0.005,2.53613999492772E-5,
1526,242.86,,5.49248514562567,0.5,0.005,2.05879930824343E-5,
1575,276.92,,5.62372865580983,0.5,0.005,1.80557561750686E-5,
1626,311.63,,5.7418165866408,0.5,0.005,1.60446683567051E-5,
