Voltage,Current,Temperature,ln(I),Voltage error,Currnet err,ln(I) err
mV,mA,K,,,,
,OA47,,,,,
25.02,0.001,--,-6.90775527898214,0.005,5E-4,0.5
49.7,0.003,--,-5.80914299031403,0.005,5E-4,0.166666666666667
75.18,0.008,--,-4.8283137373023,0.005,5E-4,0.0625
101.5,0.018,--,-4.01738352108597,0.05,5E-4,0.0277777777777778
125.2,0.036,--,-3.32423634052603,0.05,5E-4,0.0138888888888889
149.9,0.068,--,-2.68824757380603,0.05,5E-4,0.00735294117647059
175,0.117,--,-2.14558134418438,0.05,5E-4,0.00427350427350427
200.7,0.19,--,-1.66073120682165,0.05,5E-4,0.00263157894736842
225,0.283,,-1.2623083813389,0.05,5E-4,0.00176678445229682
250.1,0.404,,-0.906340401020987,0.05,5E-4,0.00123762376237624
274.7,0.551,,-0.596020469829223,0.05,5E-4,9.07441016333938E-4
299.7,0.729,,-0.316081546973479,0.05,5E-4,6.85871056241427E-4
324.5,0.935,,-0.06720874969345,0.05,5E-4,5.3475935828877E-4
350.4,1.181,,0.166361537215225,0.05,5E-4,4.23370025402202E-4
374.8,1.444,,0.367417040470634,0.05,5E-4,3.46260387811634E-4
400,1.74,,0.553885113226438,0.05,5E-4,2.8735632183908E-4
425,2.066,,0.725614370697447,0.05,5E-4,2.42013552758955E-4
450.6,2.429,,0.887479650020035,0.05,5E-4,2.05846027171676E-4
475.4,2.803,,1.03069027218265,0.05,5E-4,1.78380306814128E-4
500.3,3.205,,1.16471209037263,0.05,5E-4,1.5600624024961E-4
525,3.625,,1.28785428830664,0.05,5E-4,1.37931034482759E-4
549.9,4.068,,1.40315147818631,0.05,5E-4,1.2291052114061E-4
575.1,4.551,,1.5153469890345,0.05,5E-4,1.098659635245E-4
600.1,5.055,,1.62037785247243,0.05,5E-4,9.89119683481701E-5
624.7,5.559,,1.71541823597133,0.05,5E-4,8.99442345745638E-5
650,6.102,,1.80861658629448,0.05,5E-4,8.19403474270731E-5
675.1,6.645,,1.89386469216521,0.05,5E-4,7.52445447705041E-5
