Voltage,Current,Temperature,ln(I),Voltage err,Current err,ln(I) err
mV,mA,K,,,,
,1N4148,,,,,
50.24,0,294.5,--,0.005,5E-4,--
100.05,0,294.3,--,0.005,5E-4,--
150.5,0,294.4,--,0.05,5E-4,--
200.3,0,295.6,--,0.05,5E-4,--
250.5,0.001,295.6,-6.90775527898214,0.05,5E-4,0.5
300,0.001,295.5,-6.90775527898214,0.05,5E-4,0.5
350.5,0.004,--,-5.52146091786225,0.05,5E-4,0.125
400.3,0.011,100ohm resistor,-4.50986000618377,0.05,5E-4,0.0454545454545455
450.1,0.031,,-3.47376807449699,0.05,5E-4,0.0161290322580645
499.8,0.087,,-2.44184716032755,0.05,5E-4,0.00574712643678161
550.7,0.241,,-1.42295834549148,0.05,5E-4,0.0020746887966805
599.7,0.625,,-0.470003629245736,0.05,5E-4,8E-4
649.4,1.604,,0.472500509444323,0.05,5E-4,3.11720698254364E-4
700.1,3.986,,1.3827882217906,0.05,5E-4,1.25439036628199E-4
749.2,8.829,,2.17804175791945,0.05,5E-4,5.66315551025031E-5
759.9,10.573,,2.35830358175039,0.05,5E-4,4.7290267662915E-5
770.1,12.201,,2.5015179155932,0.05,5E-4,4.0980247520695E-5
779.3,13.907,,2.63239231049647,0.05,5E-4,3.59531171352556E-5
791,16.136,,2.78105280065191,0.05,5E-4,3.09866137828458E-5
799.7,18.304,,2.90711961519739,0.05,5E-4,2.73164335664336E-5
809.9,20.615,,3.02601896615886,0.05,5E-4,2.42541838467136E-5
820.1,23.497,,3.15687275342647,0.05,5E-4,2.1279312252628E-5
829.8,26.396,,3.27321248352118,0.05,5E-4,1.89422639793908E-5
839.6,29.267,,3.37646060142974,0.05,5E-4,1.70840878805481E-5
850.9,32.877,,3.49277332514936,0.05,5E-4,1.5208200261581E-5
860,36.301,,3.59184528910073,0.05,5E-4,1.37737252417289E-5
870,39.942,,3.68742840184662,0.05,5E-4,1.25181513194131E-5
880.2,44.182,,3.78831746631999,0.05,5E-4,1.13168258566837E-5
889.9,48.255,,3.8764994493591,0.05,5E-4,1.03616205574552E-5
899.6,52.782,,3.96617022349859,0.05,5E-4,9.4729263764162E-6
909.7,57.526,,4.05223701951653,0.05,5E-4,8.69172200396343E-6
919.9,62.736,,4.13893544554998,0.05,5E-4,7.96990563631727E-6
929.7,68.083,,4.22072754909918,0.05,5E-4,7.34397720429476E-6
939.3,72.906,,4.28917094015453,0.05,5E-4,6.85814610594464E-6
949.9,79.975,,4.38171408583558,0.05,5E-4,6.25195373554236E-6
960,84.23,,4.43355115232727,0.05,5E-4,5.93612727056868E-6
969.9,90.598,,4.50643213775009,0.05,5E-4,5.51888562661427E-6
979.8,96.34,,4.56788360120207,0.05,5E-4,5.18995225243928E-6
990.1,102.809,,4.63287289782704,0.05,5E-4,4.86338744662432E-6
999.4,109.978,,4.70028034578975,0.05,5E-4,4.54636381821819E-6
1010.1,117.95,,4.77026080585368,0.05,0.005,4.23908435777872E-5
1020.1,123.6,,4.81705054502359,0.05,0.005,4.0453074433657E-5
1029.3,129.2,,4.8613615913485,0.05,0.005,3.86996904024768E-5
1029.9,130.86,,4.87412804944159,0.05,0.005,3.82087727342198E-5
1039.8,137.54,,4.92391478389169,0.05,0.005,3.63530609277301E-5
1050.1,144.57,,4.97376381932035,0.05,0.005,3.45853219893477E-5
1059.7,151.62,,5.02137739062816,0.05,0.005,3.29771797915842E-5
1070.2,158.97,,5.06871550517278,0.05,0.005,3.14524753098069E-5
1079.4,165.54,,5.10921285745725,0.05,0.005,3.02041802585478E-5
1089.8,174,,5.15905529921453,0.05,0.005,2.8735632183908E-5
1100.1,182.02,,5.20411657114921,0.05,0.005,2.74695088451818E-5
1109.5,190.03,,5.24718195443327,0.05,0.005,2.63116350049992E-5
