[0.0021 0.001  0.001  0.001  0.0016 0.0016 0.0021 0.0016 0.001  0.0021],[0.1008 0.1013 0.1019 0.1019 0.1013 0.1013 0.1019 0.1008 0.1013 0.1013],[0.2001 0.2001 0.2001 0.2006 0.2006 0.2006 0.2006 0.2001 0.2006 0.2006],[0.2983 0.2978 0.2978 0.2983 0.2983 0.2983 0.2983 0.2983 0.2978 0.2978],[0.3965 0.3965 0.3965 0.3965 0.397  0.397  0.3965 0.3965 0.397  0.3965],[0.4978 0.4978 0.4973 0.4973 0.4973 0.4973 0.4968 0.4973 0.4978 0.4973],[0.5976 0.5981 0.5981 0.5981 0.5981 0.5986 0.5986 0.5976 0.5976 0.5976],[0.6974 0.6974 0.6968 0.6968 0.6968 0.6974 0.6974 0.6974 0.6968 0.6974],[0.7971 0.7982 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7982],[0.8974 0.898  0.8974 0.8974 0.8974 0.8974 0.8969 0.8974 0.8969 0.8974],[0.9967 0.9972 0.9967 0.9967 0.9967 0.9972 0.9962 0.9962 0.9967 0.9967],[1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959 1.0959],[1.1978 1.1973 1.1973 1.1973 1.1978 1.1973 1.1973 1.1973 1.1973 1.1973],[1.296  1.2965 1.296  1.2965 1.296  1.296  1.2965 1.2965 1.2965 1.2965],[1.3916 1.3906 1.3911 1.3916 1.3911 1.3906 1.3916 1.3911 1.3911 1.3911],[1.4924 1.4924 1.4919 1.4924 1.4919 1.4919 1.4924 1.4919 1.4919 1.4924],[1.5922 1.5922 1.5917 1.5917 1.5917 1.5917 1.5911 1.5922 1.5917 1.5922],[1.6914 1.692  1.692  1.6914 1.6914 1.6914 1.692  1.692  1.692  1.6914],[1.7891 1.7891 1.7891 1.7891 1.7891 1.7891 1.7891 1.7891 1.7891 1.7891],[1.8873 1.8873 1.8879 1.8873 1.8873 1.8873 1.8873 1.8873 1.8873 1.8873],[1.9902 1.9902 1.9908 1.9908 1.9902 1.9902 1.9902 1.9902 1.9913 1.9908],[2.0853 2.0853 2.0853 2.0858 2.0858 2.0853 2.0858 2.0853 2.0853 2.0858],[2.1804 2.1804 2.1804 2.1804 2.1809 2.1804 2.1804 2.1804 2.1804 2.1809],[2.2749 2.2749 2.2754 2.2749 2.2749 2.276  2.2754 2.2754 2.2754 2.2749],[2.346  2.3454 2.346  2.3454 2.3465 2.3454 2.346  2.346  2.3454 2.346 ],[2.3454 2.3454 2.3449 2.3454 2.3454 2.3454 2.346  2.346  2.3449 2.3454],[2.3449 2.3454 2.3449 2.3444 2.3454 2.3449 2.3454 2.3449 2.3449 2.3454],[2.3449 2.3449 2.3454 2.3449 2.3444 2.3449 2.3449 2.3449 2.3444 2.3449],[2.3449 2.3444 2.3449 2.3449 2.3439 2.3449 2.3444 2.3449 2.3444 2.3449],[2.3444 2.3444 2.3444 2.3449 2.3444 2.3449 2.3449 2.3444 2.3439 2.3444]
|[-0.00108 -0.00108 -0.00098 -0.00103 -0.00093 -0.00098 -0.00103 -0.00093
 -0.00087 -0.00103]|,|[-0.00098 -0.00098 -0.00103 -0.00103 -0.00093 -0.00103 -0.00103 -0.00108
 -0.00108 -0.00098]|,|[-0.00103 -0.00103 -0.00098 -0.00098 -0.00103 -0.00108 -0.00103 -0.00103
 -0.00093 -0.00098]|,|[-0.00098 -0.00103 -0.00113 -0.00093 -0.00098 -0.00108 -0.00098 -0.00087
 -0.00098 -0.00103]|,|[-0.00113 -0.00103 -0.00098 -0.00103 -0.00103 -0.00098 -0.00108 -0.00103
 -0.00103 -0.00098]|,|[-0.00098 -0.00103 -0.00108 -0.00098 -0.00108 -0.00103 -0.00103 -0.00098
 -0.00108 -0.00103]|,|[-0.00098 -0.00108 -0.00113 -0.00108 -0.00093 -0.00098 -0.00103 -0.00098
 -0.00098 -0.00113]|,|[-0.00103 -0.00108 -0.00103 -0.00093 -0.00103 -0.00103 -0.00103 -0.00098
 -0.00093 -0.00103]|,|[-0.00098 -0.00103 -0.00103 -0.00098 -0.00103 -0.00098 -0.00103 -0.00098
 -0.00103 -0.00103]|,|[-0.00093 -0.00103 -0.00093 -0.00087 -0.00098 -0.00103 -0.00087 -0.00093
 -0.00129 -0.00098]|,|[-0.00093 -0.00103 -0.00093 -0.00098 -0.00103 -0.00093 -0.00098 -0.00098
 -0.00087 -0.00087]|,|[-0.00093 -0.00082 -0.00093 -0.00093 -0.00093 -0.00077 -0.00087 -0.00087
 -0.00082 -0.00093]|,|[-0.00077 -0.00072 -0.00082 -0.00082 -0.00087 -0.00072 -0.00077 -0.00077
 -0.00082 -0.00087]|,|[-0.00057 -0.00087 -0.00067 -0.00041 -0.00062 -0.00062 -0.00057 -0.00062
 -0.00062 -0.00057]|,|[-0.00031 -0.00036 -0.00036 -0.00036 -0.00026 -0.00036 -0.00041 -0.00031
 -0.00026 -0.00031]|,[5.e-05 5.e-05 5.e-05 1.e-04 5.e-05 1.e-04 0.e+00 0.e+00 5.e-05 5.e-05],|[0.00057 0.00067 0.00072 0.00067 0.00072 0.00057 0.00062 0.00057 0.00062
 0.00057]|,|[0.00149 0.00149 0.00149 0.00154 0.00144 0.00144 0.0016  0.00154 0.00144
 0.00149]|,|[0.00268 0.00268 0.00262 0.00283 0.00268 0.00257 0.00283 0.00262 0.00273
 0.00262]|,|[0.00422 0.00427 0.00432 0.00432 0.00427 0.00432 0.00427 0.00422 0.00427
 0.00432]|,|[0.00659 0.00679 0.00664 0.00669 0.00669 0.00654 0.00674 0.00664 0.00669
 0.00664]|,|[0.00957 0.00947 0.00942 0.00952 0.00957 0.00942 0.00947 0.00947 0.00947
 0.00947]|,|[0.01333 0.01328 0.01318 0.01328 0.01323 0.01318 0.01338 0.01318 0.01333
 0.01323]|,|[0.01806 0.01812 0.01812 0.01817 0.01812 0.01801 0.01812 0.01817 0.01812
 0.01806]|,|[0.02249 0.02239 0.02254 0.02249 0.02254 0.02249 0.02254 0.02254 0.02254
 0.02254]|,|[0.02254 0.02239 0.02259 0.02249 0.02249 0.02239 0.02254 0.02244 0.02254
