[0.0016 0.001  0.001  0.0016 0.0016 0.0016 0.0021 0.001  0.0016 0.0016],[0.1008 0.1013 0.1019 0.1013 0.1019 0.1013 0.1008 0.1013 0.1019 0.1013],[0.2001 0.2006 0.2006 0.2001 0.2006 0.2006 0.2001 0.2006 0.2001 0.2006],[0.2983 0.2978 0.2983 0.2983 0.2983 0.2978 0.2983 0.2983 0.2983 0.2983],[0.397  0.3965 0.3965 0.3965 0.397  0.3965 0.3965 0.3965 0.3965 0.3965],[0.4978 0.4973 0.4978 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973],[0.5981 0.5981 0.5976 0.5981 0.5981 0.5981 0.5986 0.5981 0.5981 0.5981],[0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974 0.6974],[0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7982 0.7982 0.7982 0.7977],[0.8974 0.8974 0.8969 0.8974 0.8974 0.8969 0.8974 0.898  0.898  0.8974],[0.9967 0.9962 0.9962 0.9967 0.9972 0.9967 0.9967 0.9967 0.9972 0.9967],[1.0965 1.0959 1.0965 1.0959 1.0965 1.0959 1.0959 1.0965 1.0965 1.0965],[1.1978 1.1978 1.1973 1.1983 1.1978 1.1973 1.1973 1.1978 1.1978 1.1978],[1.2965 1.2965 1.2965 1.2965 1.2965 1.2965 1.297  1.2965 1.2965 1.297 ],[1.3911 1.3916 1.3916 1.3911 1.3916 1.3921 1.3911 1.3921 1.3916 1.3906],[1.4924 1.4929 1.4929 1.4924 1.4924 1.4929 1.4929 1.4924 1.4929 1.4924],[1.5927 1.5922 1.5922 1.5927 1.5917 1.5922 1.5922 1.5917 1.5927 1.5927],[1.6925 1.6925 1.6925 1.6925 1.693  1.6925 1.693  1.693  1.6925 1.692 ],[1.7902 1.7902 1.7912 1.7907 1.7907 1.7907 1.7912 1.7912 1.7907 1.7912],[1.8889 1.8889 1.8899 1.8894 1.8899 1.8894 1.8894 1.8894 1.8899 1.8894],[1.9934 1.9934 1.9928 1.9934 1.9934 1.9934 1.9934 1.9934 1.9934 1.9928],[2.0895 2.089  2.0895 2.0895 2.089  2.0895 2.0895 2.0895 2.089  2.0895],[2.1856 2.1856 2.1851 2.1851 2.1851 2.1856 2.1851 2.1856 2.1856 2.1851],[2.2817 2.2817 2.2817 2.2812 2.2817 2.2812 2.2822 2.2817 2.2817 2.2817],[2.3757 2.3752 2.3752 2.3752 2.3757 2.3752 2.3752 2.3752 2.3752 2.3757],[2.4567 2.4572 2.4578 2.4572 2.4578 2.4567 2.4572 2.4567 2.4572 2.4572],[2.4557 2.4567 2.4567 2.4567 2.4572 2.4567 2.4562 2.4567 2.4562 2.4567],[2.4562 2.4557 2.4557 2.4562 2.4557 2.4557 2.4557 2.4557 2.4557 2.4557],[2.4557 2.4551 2.4562 2.4551 2.4557 2.4557 2.4551 2.4557 2.4551 2.4557],[2.4546 2.4551 2.4551 2.4546 2.4546 2.4546 2.4551 2.4546 2.4551 2.4546]
|[-0.00098 -0.00093 -0.00103 -0.00103 -0.00093 -0.00108 -0.00093 -0.00093
 -0.00098 -0.00087]|,|[-0.00093 -0.00098 -0.00087 -0.00108 -0.00093 -0.00082 -0.00098 -0.00098
 -0.00098 -0.00093]|,|[-0.00103 -0.00098 -0.00108 -0.00103 -0.00098 -0.00098 -0.00103 -0.00103
 -0.00087 -0.00093]|,|[-0.00108 -0.00103 -0.00087 -0.00098 -0.00098 -0.00087 -0.00103 -0.00093
 -0.00093 -0.00103]|,|[-0.00098 -0.00087 -0.00093 -0.00103 -0.00082 -0.00103 -0.00098 -0.00098
 -0.00093 -0.00098]|,|[-0.00098 -0.00098 -0.00103 -0.00093 -0.00103 -0.00093 -0.00103 -0.00098
 -0.00093 -0.00087]|,|[-0.00098 -0.00098 -0.00098 -0.00093 -0.00103 -0.00093 -0.00098 -0.00098
 -0.00098 -0.00093]|,|[-0.00087 -0.00098 -0.00108 -0.00098 -0.00103 -0.00113 -0.00093 -0.00093
 -0.00093 -0.00093]|,|[-0.00098 -0.00098 -0.00093 -0.00093 -0.00098 -0.00093 -0.00098 -0.00098
 -0.00093 -0.00093]|,|[-0.00098 -0.00087 -0.00087 -0.00093 -0.00087 -0.00087 -0.00098 -0.00093
 -0.00098 -0.00098]|,|[-0.00087 -0.00072 -0.00087 -0.00082 -0.00082 -0.00093 -0.00087 -0.00087
 -0.00087 -0.00077]|,|[-0.00082 -0.00093 -0.00077 -0.00087 -0.00082 -0.00082 -0.00077 -0.00082
 -0.00077 -0.00082]|,|[-0.00077 -0.00082 -0.00077 -0.00072 -0.00082 -0.00098 -0.00077 -0.00087
 -0.00072 -0.00077]|,|[-0.00057 -0.00062 -0.00067 -0.00062 -0.00072 -0.00067 -0.00062 -0.00062
 -0.00062 -0.00062]|,|[-0.00051 -0.00041 -0.00046 -0.00057 -0.00041 -0.00062 -0.00046 -0.00036
 -0.00031 -0.00046]|,|[-0.00015 -0.00021 -0.00021 -0.00015 -0.0001  -0.0001  -0.00021 -0.00026
 -0.00021 -0.00021]|,|[0.00036 0.00021 0.00026 0.00021 0.00021 0.00021 0.00026 0.00031 0.00026
 0.00026]|,|[0.00098 0.00082 0.00082 0.00103 0.00087 0.00087 0.00087 0.00087 0.00082
 0.00082]|,|[0.0018  0.00165 0.0017  0.00185 0.00165 0.00175 0.00175 0.00165 0.0017
 0.00175]|,|[0.00283 0.00293 0.00304 0.00283 0.00298 0.00288 0.00278 0.00298 0.00293
 0.00283]|,|[0.00458 0.00458 0.00458 0.00463 0.00458 0.00458 0.00463 0.00458 0.00463
 0.00468]|,|[0.00679 0.00679 0.00679 0.00679 0.00674 0.00669 0.0069  0.00684 0.00684
 0.00669]|,|[0.00952 0.00947 0.00942 0.00957 0.00947 0.00947 0.00952 0.00947 0.00947
 0.00957]|,|[0.01312 0.01312 0.01307 0.01307 0.01318 0.01318 0.01318 0.01312 0.01312
 0.01318]|,|[0.01765 0.01755 0.01765 0.01765 0.01765 0.01765 0.0176  0.0175  0.01765
 0.01765]|,|[0.02249 0.02249 0.02249 0.02249 0.02259 0.02249 0.02249 0.02254 0.02259
