No	Time	T1/T2	Value	Unit	Judge
1	2018/03/22_15:07:10	T1	295.9	K-T	Fail
2	2018/03/22_15:07:10	T1	295.9	K-T	Fail
3	2018/03/22_15:07:10	T1	295.9	K-T	Fail
4	2018/03/22_15:07:11	T1	295.9	K-T	Fail
5	2018/03/22_15:07:12	T1	295.9	K-T	Fail
6	2018/03/22_15:07:13	T1	295.9	K-T	Fail
7	2018/03/22_15:07:14	T1	295.9	K-T	Fail
8	2018/03/22_15:07:15	T1	295.9	K-T	Fail
9	2018/03/22_15:07:16	T1	295.9	K-T	Fail
10	2018/03/22_15:07:17	T1	296.0	K-T	Fail
11	2018/03/22_15:07:18	T1	296.0	K-T	Fail
12	2018/03/22_15:07:19	T1	296.0	K-T	Fail
13	2018/03/22_15:07:20	T1	296.0	K-T	Fail
14	2018/03/22_15:07:21	T1	295.9	K-T	Fail
15	2018/03/22_15:07:23	T1	295.9	K-T	Fail
16	2018/03/22_15:07:24	T1	295.9	K-T	Fail
17	2018/03/22_15:07:25	T1	295.9	K-T	Fail
18	2018/03/22_15:07:26	T1	295.9	K-T	Fail
19	2018/03/22_15:07:27	T1	295.9	K-T	Fail
20	2018/03/22_15:07:28	T1	295.9	K-T	Fail
21	2018/03/22_15:07:29	T1	295.9	K-T	Fail
22	2018/03/22_15:07:30	T1	295.9	K-T	Fail
23	2018/03/22_15:07:31	T1	295.9	K-T	Fail
24	2018/03/22_15:07:32	T1	295.9	K-T	Fail
25	2018/03/22_15:07:33	T1	295.9	K-T	Fail
26	2018/03/22_15:07:34	T1	295.9	K-T	Fail
27	2018/03/22_15:07:35	T1	295.9	K-T	Fail
28	2018/03/22_15:07:36	T1	295.9	K-T	Fail
29	2018/03/22_15:07:37	T1	295.9	K-T	Fail
30	2018/03/22_15:07:38	T1	295.9	K-T	Fail
31	2018/03/22_15:07:39	T1	295.9	K-T	Fail
32	2018/03/22_15:07:40	T1	295.9	K-T	Fail
33	2018/03/22_15:07:41	T1	295.9	K-T	Fail
34	2018/03/22_15:07:42	T1	295.9	K-T	Fail
35	2018/03/22_15:07:43	T1	295.9	K-T	Fail
36	2018/03/22_15:07:44	T1	295.9	K-T	Fail
37	2018/03/22_15:07:45	T1	296.0	K-T	Fail
38	2018/03/22_15:07:46	T1	296.1	K-T	Fail
39	2018/03/22_15:07:47	T1	296.0	K-T	Fail
40	2018/03/22_15:07:48	T1	296.1	K-T	Fail
41	2018/03/22_15:07:49	T1	296.0	K-T	Fail
42	2018/03/22_15:07:50	T1	296.0	K-T	Fail
43	2018/03/22_15:07:51	T1	296.0	K-T	Fail
44	2018/03/22_15:07:52	T1	296.0	K-T	Fail
45	2018/03/22_15:07:53	T1	296.1	K-T	Fail
46	2018/03/22_15:07:53	T1	296.0	K-T	Fail
47	2018/03/22_15:07:54	T1	296.0	K-T	Fail
48	2018/03/22_15:07:55	T1	296.1	K-T	Fail
49	2018/03/22_15:07:56	T1	296.0	K-T	Fail
50	2018/03/22_15:07:57	T1	296.0	K-T	Fail
51	2018/03/22_15:07:58	T1	296.0	K-T	Fail
52	2018/03/22_15:07:59	T1	296.0	K-T	Fail
53	2018/03/22_15:08:00	T1	296.0	K-T	Fail
54	2018/03/22_15:08:01	T1	296.1	K-T	Fail
55	2018/03/22_15:08:02	T1	296.0	K-T	Fail
56	2018/03/22_15:08:03	T1	296.1	K-T	Fail
57	2018/03/22_15:08:04	T1	296.0	K-T	Fail
58	2018/03/22_15:08:05	T1	296.0	K-T	Fail
59	2018/03/22_15:08:06	T1	296.0	K-T	Fail
60	2018/03/22_15:08:07	T1	296.0	K-T	Fail
61	2018/03/22_15:08:08	T1	296.0	K-T	Fail
62	2018/03/22_15:08:09	T1	296.0	K-T	Fail
63	2018/03/22_15:08:10	T1	296.1	K-T	Fail
64	2018/03/22_15:08:12	T1	296.0	K-T	Fail
65	2018/03/22_15:08:13	T1	296.0	K-T	Fail
66	2018/03/22_15:08:14	T1	296.0	K-T	Fail
67	2018/03/22_15:08:15	T1	296.0	K-T	Fail
68	2018/03/22_15:08:16	T1	296.0	K-T	Fail
69	2018/03/22_15:08:17	T1	296.0	K-T	Fail
70	2018/03/22_15:08:18	T1	296.0	K-T	Fail
71	2018/03/22_15:08:19	T1	296.0	K-T	Fail
72	2018/03/22_15:08:20	T1	296.0	K-T	Fail
73	2018/03/22_15:08:21	T1	296.0	K-T	Fail
74	2018/03/22_15:08:22	T1	296.0	K-T	Fail
75	2018/03/22_15:08:23	T1	296.0	K-T	Fail
76	2018/03/22_15:08:24	T1	296.0	K-T	Fail
