[0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.001  0.0016 0.0016],[0.1013 0.1013 0.1013 0.1019 0.1013 0.1013 0.1019 0.1019 0.1008 0.1008],[0.2006 0.2006 0.2011 0.2001 0.2006 0.2006 0.2001 0.2006 0.2001 0.2006],[0.2983 0.2983 0.2983 0.2983 0.2983 0.2978 0.2983 0.2978 0.2978 0.2983],[0.3965 0.397  0.397  0.397  0.397  0.3965 0.3965 0.397  0.3965 0.3965],[0.4968 0.4973 0.4973 0.4978 0.4973 0.4968 0.4973 0.4973 0.4973 0.4973],[0.5976 0.5981 0.5981 0.5976 0.5986 0.5981 0.5981 0.5981 0.5981 0.5981],[0.6974 0.6974 0.6974 0.6974 0.6968 0.6974 0.6968 0.6974 0.6974 0.6974],[0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977],[0.8974 0.8974 0.8969 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8974],[0.9972 0.9972 0.9972 0.9972 0.9972 0.9972 0.9972 0.9972 0.9967 0.9962],[1.0959 1.0965 1.0965 1.0959 1.0959 1.0965 1.0959 1.0959 1.0965 1.0965],[1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1973 1.1978 1.1978 1.1978],[1.2965 1.2965 1.2965 1.2965 1.2965 1.2965 1.297  1.2965 1.2965 1.297 ],[1.3921 1.3921 1.3916 1.3916 1.3916 1.3916 1.3911 1.3916 1.3916 1.3916],[1.4929 1.4929 1.4929 1.4924 1.4929 1.4924 1.4929 1.4929 1.4929 1.4935],[1.5932 1.5927 1.5922 1.5932 1.5927 1.5927 1.5927 1.5927 1.5927 1.5927],[1.693  1.693  1.693  1.693  1.693  1.6935 1.6935 1.693  1.693  1.693 ],[1.7912 1.7917 1.7912 1.7912 1.7912 1.7912 1.7917 1.7917 1.7917 1.7912],[1.891  1.8905 1.8905 1.8905 1.8899 1.8899 1.8905 1.8905 1.8905 1.8899],[1.9944 1.9944 1.9944 1.9949 1.9949 1.9944 1.9949 1.9944 1.9955 1.9944],[2.0916 2.0916 2.0911 2.0916 2.0911 2.0911 2.0911 2.0916 2.0916 2.0911],[2.1882 2.1877 2.1882 2.1882 2.1882 2.1882 2.1877 2.1882 2.1882 2.1882],[2.2854 2.2854 2.2854 2.2854 2.2854 2.2854 2.2854 2.2854 2.2854 2.2859],[2.3804 2.3804 2.3804 2.3804 2.3804 2.3799 2.3804 2.3799 2.3794 2.3799],[2.474  2.4745 2.4745 2.474  2.474  2.4745 2.4745 2.474  2.474  2.4745],[2.5424 2.5429 2.5429 2.5429 2.5434 2.5424 2.5424 2.5429 2.5429 2.5424],[2.5413 2.5419 2.5419 2.5419 2.5419 2.5419 2.5413 2.5419 2.5413 2.5419],[2.5408 2.5408 2.5408 2.5408 2.5408 2.5413 2.5408 2.5408 2.5408 2.5408],[2.5403 2.5403 2.5403 2.5403 2.5398 2.5403 2.5403 2.5403 2.5403 2.5403]
|[-0.00082 -0.00093 -0.00098 -0.00093 -0.00082 -0.00093 -0.00087 -0.00093
 -0.00087 -0.00098]|,|[-0.00093 -0.00087 -0.00087 -0.00082 -0.00087 -0.00082 -0.00098 -0.00087
 -0.00098 -0.00093]|,|[-0.00093 -0.00087 -0.00082 -0.00098 -0.00077 -0.00082 -0.00098 -0.00077
 -0.00082 -0.00082]|,|[-0.00082 -0.00072 -0.00098 -0.00093 -0.00093 -0.00087 -0.00087 -0.00077
 -0.00082 -0.00087]|,|[-0.00093 -0.00077 -0.00093 -0.00093 -0.00093 -0.00103 -0.00087 -0.00087
 -0.00087 -0.00087]|,|[-0.00077 -0.00082 -0.00087 -0.00087 -0.00077 -0.00098 -0.00082 -0.00087
 -0.00087 -0.00087]|,|[-0.00093 -0.00087 -0.00087 -0.00093 -0.00087 -0.00093 -0.00093 -0.00093
 -0.00087 -0.00087]|,|[-0.00087 -0.00082 -0.00072 -0.00093 -0.00093 -0.00077 -0.00093 -0.00072
 -0.00087 -0.00098]|,|[-0.00087 -0.00093 -0.00093 -0.00082 -0.00098 -0.00087 -0.00093 -0.00093
 -0.00087 -0.00098]|,|[-0.00087 -0.00093 -0.00087 -0.00087 -0.00093 -0.00087 -0.00093 -0.00082
 -0.00087 -0.00087]|,|[-0.00093 -0.00087 -0.00082 -0.00093 -0.00087 -0.00087 -0.00082 -0.00087
 -0.00087 -0.00093]|,|[-0.00087 -0.00093 -0.00082 -0.00087 -0.00082 -0.00082 -0.00093 -0.00082
 -0.00077 -0.00087]|,|[-0.00077 -0.00082 -0.00082 -0.00082 -0.00072 -0.00077 -0.00077 -0.00077
 -0.00077 -0.00082]|,|[-0.00072 -0.00077 -0.00067 -0.00067 -0.00072 -0.00067 -0.00067 -0.00072
 -0.00072 -0.00067]|,|[-0.00051 -0.00051 -0.00062 -0.00046 -0.00046 -0.00062 -0.00051 -0.00046
 -0.00062 -0.00057]|,|[-0.00031 -0.00031 -0.00026 -0.00026 -0.00026 -0.00031 -0.00026 -0.00026
 -0.00021 -0.00031]|,|[ 1.e-04 -5.e-05  0.e+00  0.e+00  0.e+00  5.e-05  0.e+00  0.e+00  1.e-04
  5.e-05]|,|[0.00051 0.00041 0.00051 0.00057 0.00046 0.00057 0.00057 0.00067 0.00051
 0.00051]|,|[0.00129 0.00124 0.00124 0.00113 0.00134 0.00118 0.00129 0.00124 0.00118
 0.00118]|,|[0.00216 0.00216 0.00232 0.00216 0.00216 0.00216 0.00211 0.00216 0.00206
 0.00221]|,|[0.0036  0.00335 0.00345 0.0036  0.0036  0.0036  0.0036  0.00345 0.0035
 0.00355]|,|[0.0052  0.0052  0.0052  0.0054  0.0052  0.0052  0.0054  0.0053  0.00525
 0.00515]|,|[0.00751 0.00746 0.00751 0.00746 0.00736 0.00741 0.00757 0.00751 0.00746
 0.00746]|,|[0.01024 0.0104  0.01034 0.01029 0.01034 0.01029 0.01034 0.0104  0.0104
 0.01034]|,|[0.0141  0.014   0.01405 0.0141  0.0139  0.01395 0.01395 0.01384 0.01384
 0.01395]|,|[0.01842 0.01853 0.01853 0.01848 0.01853 0.01863 0.01848 0.01858 0.01853
 0.01848]|,|[0.02254 0.02259 0.02254 0.02264 0.02259 0.02254 0.02259 0.02259 0.02259
 0.02244]|,|[0.02249 0.02259 0.02264 0.02249 0.02254 0.02249 0.02254 0.02259 0.02254
 0.02254]|,|[0.02249 0.02249 0.02254 0.02254 0.02259 0.02249 0.02259 0.02249 0.02264
 0.02254]|,|[0.02249 0.02249 0.02259 0.02259 0.02254 0.02259 0.02259 0.02259 0.02254
 0.02254]|
